TIME TABLE FOR Spring 2019 SEMESTER [CS Department] <V1.8>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Object Oriented Programming Lab (CS-D1, CS-D2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,Digital Logic Design Lab (CS-D1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-E1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,Digital Logic Design Lab (CS-D2) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-E2) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Tuesday,CS-1,,,,,,,,,,,,,,,,,,,Cloud Computing (MS),,,,,,,,,Theory of Automata - II (MS),,,,,,,,,Advanced Computer Architecture (MS),,,,,,,,,,,,,,,,,,Management & Organizational Behavior (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,4
,CS-2,Computer Networks (CS-B),,,,,,,,,Computer Networks (CS-A),,,,,,,,,Communication & Presentation Skills  (CS-C2),,,,,,,,,,,,,,,,,,Social Network Analysis (MS-DS),,,,,,,,,Technical & Business Writing (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-3,,,,,,,,,,Computer Programming (CS),,,,,,,,,Operating Systems (CS-C),,,,,,,,,Operating Systems (CS-D),,,,,,,,,Design & Analysis of Algorithms (CS-B),,,,,,,,,Enterprise Information System (CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-4,,,,,,,,,,Data Structures (CS-A),,,,,,,,,Data Structures (CS-B),,,,,,,,,Operating Systems (CS-E),,,,,,,,,Professional Issues in IT (CS-C),,,,,,,,,Philosophy (CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-5,Differential Equations (Cal II) (CS-A),,,,,,,,,Data Structures (CS-C),,,,,,,,,Differential Equations (Cal II) (CS-B),,,,,,,,,Operating Systems (CS-A),,,,,,,,,Operating Systems (CS-B),,,,,,,,,Organizational Behavior (CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-6,Technical & Business Writing (CS-E),,,,,,,,,Programming Fundamentals (CS-G),,,,,,,,,Programming Fundamentals (CS-H),,,,,,,,,Data Science (CS-A),,,,,,,,,Data Science (CS-B),,,,,,,,,Compiler Construction (CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,CS-7,,,,,,,,,,,,,,,,,,,Design & Analysis of Algorithms (CS-A),,,,,,,,,Pakistan Studies (CS-D),,,,,,,,,Pakistan Studies (CS-C),,,,,,,,,Entrepreneurship (CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,CS-8,Technical & Business Writing (CS-D),,,,,,,,,Web Programming (CS-A),,,,,,,,,Web Programming (CS-B),,,,,,,,,Digital Logic Design (CS-E) ,,,,,,,,,Digital Logic Design (CS-F) ,,,,,,,,,Pakistan Studies (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,CS-9,Software Testing (CS-B),,,,,,,,,Artificial Intelligence (CS-B),,,,,,,,,Advance Database Concepts (CS),,,,,,,,,Artificial Intelligence (CS-A),,,,,,,,,Object Oriented Programming (CS-B),,,,,,,,,Artificial Intelligence (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,CS-10,Artificial Intelligence (CS-C),,,,,,,,,Artificial Intelligence (CS-D),,,,,,,,,Numerical Methods (CS-D),,,,,,,,,Information Retrieval (CS),,,,,,,,,Human Computer Interaction (CS-D),,,,,,,,,Artificial Intelligence (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,CS-11,,,,,,,,,,,,,,,,,,,Object Oriented Programming (CS-A),,,,,,,,,Human Computer Interaction (CS-B),,,,,,,,,Human Computer Interaction (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,CS-15,Pakistan Studies (CS-E),,,,,,,,,Software Engineering (CS-B),,,,,,,,,Software Engineering (CS-A),,,,,,,,,Digital Logic Design (CS-H) ,,,,,,,,,Digital Logic Design (CS-G) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-16,Digital Logic Design (CS-D) ,,,,,,,,,,,,,,,,,,Communication & Presentation Skills  (CS-C1),,,,,,,,,,,,,,,,,,Communication & Presentation Skills (CS-D1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Seminar Hall,"Research Methodology (MS-A, MS-B)",,,,,,,,,,,,,,,,,,Programming Fundamentals (CS-I),,,,,,,,,Human Computer Interaction (CS-E),,,,,,,,,Communication & Presentation Skills  (CS-D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,CE-3,Pakistan Studies (CS-H),,,,,,,,,Differential Equations (Cal II) (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,English Lab-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Lab(CS-1),Database Systems Lab (CS-C1 & CS-C2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Object Oriented Programming Lab (CS-A1, CS-A2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,Design & Analysis of Algorithms (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Lab(CS-6),Database Systems Lab (CS-D1 & CS-D2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lab(CS-9),Operating Systems Lab (CS-A1 & CS-A2),,,,,,,,,,,,,,,,,,,,,,,,,,,Reserved for Fast School of Management (FSM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Lab(CS-10),Operating Systems Lab (CS-B1 & CS-B2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,Digital Logic Design Lab (CS-F1) ,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-G2) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,Digital Logic Design Lab (CS-F2) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,CS-1,Machine Learning (MS-DS),,,,,,,,,Advanced Programming (CS),,,,,,,,,Computational Intelligence (MS),,,,,,,,,Data Sceince (MS),,,,,,,,,Natural Language Processing (MS),,,,,,,,,,,,,,,,,,Software Process Management and Metrics (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,5
,CS-2,Advance Computer Networks (MS),,,,,,,,,,,,,,,,,,Software Testing (CS-A),,,,,,,,,Human Computer Interaction (CS-F),,,,,,,,,Human Computer Interaction (CS-C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,CS-3,Technical & Business Writing (CS-C),,,,,,,,,Numerical Methods (CS-B),,,,,,,,,Computer Architecture (CS-B),,,,,,,,,Numerical Methods (CS-A),,,,,,,,,Computer Architecture (CS-A),,,,,,,,,Differential Equations (Cal II) (CS-F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,CS-4,,,,,,,,,,Object Oriented Programming (CS-F),,,,,,,,,Object Oriented Programming (CS-E),,,,,,,,,Software for Mobile Devices (CS-A),,,,,,,,,,,,,,,,,,Software for Mobile Devices (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,CS-5,Mass Communication (CS),,,,,,,,,Object Oriented Programming (CS-C),,,,,,,,,Object Oriented Programming (CS-D),,,,,,,,,Comp. Org. & Assembly L. (CS-C),,,,,,,,,,,,,,,,,,Pakistan Studies (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,CS-6,Applied Physics (CS-H),,,,,,,,,Applied Physics (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-G),,,,,,,,,Calculus and Ana. Geometry (CS-H),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,CS-7,Professional Issues in IT (CS-A),,,,,,,,,Professional Issues in IT (CS-B),,,,,,,,,Comp. Org. & Assembly L. (CS-A),,,,,,,,,Comp. Org. & Assembly L. (CS-B),,,,,,,,,French Language (CS-A),,,,,,,,,French Language (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,CS-8,Numerical Methods (CS-C),,,,,,,,,,,,,,,,,,Design & Analysis of Algorithms (CS-C),,,,,,,,,Design & Analysis of Algorithms (CS-D),,,,,,,,,Sociology (CS-B),,,,,,,,,Sociology (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-9,,,,,,,,,,Database Systems (CS-A),,,,,,,,,Database Systems (CS-B),,,,,,,,,Design & Analysis of Algorithms (CS-E),,,,,,,,,Network Security (CS),,,,,,,,,Database Systems (CS-E),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-10,Digital Logic Design (CS-B) ,,,,,,,,,Database Systems (CS-C),,,,,,,,,Database Systems (CS-D),,,,,,,,,Fundamental of Computer Vision (CS-B),,,,,,,,,,,,,,,,,,Fundamental of Computer Vision (CS-A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-11,Software for Mobile Devices (CS-D),,,,,,,,,Software for Mobile Devices (CS-C),,,,,,,,,Object Oriented  Analysis & Design (CS-A),,,,,,,,,,,,,,,,,,Object Oriented  Analysis & Design (CS-B),,,,,,,,,Differential Equations (CS-C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,CS-15,Arabic Language (CS),,,,,,,,,Digital Logic Design (CS-A) ,,,,,,,,,Digital Logic Design (CS-C) ,,,,,,,,,Differential Equations (CS-A),,,,,,,,,Psychology (CS),,,,,,,,,Differential Equations (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
,CS-16,Technical & Business Writing (CS-A),,,,,,,,,Technical & Business Writing (CS-F),,,,,,,,,Communication & Presentation Skills  (CS-F1),,,,,,,,,,,,,,,,,,Communication & Presentation Skills  (CS-H1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Seminar Hall,,,,,,,,,,,,,,,,,,,Communication & Presentation Skills  (CS-F2),,,,,,,,,,,,,,,,,,Communication & Presentation Skills  (CS-H2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,CE-2,Pakistan Studies (CS-G),,,,,,,,,Theory of Automata (CS-A),,,,,,,,,Theory of Automata (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CE-3,Pakistan Studies (CS-A),,,,,,,,,,,,,,,,,,Modern Politics & Government (CS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,English Lab-I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,English Lab-II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Lab(CS-1),,,,,,,,,,,,,,,,,,,"Object Oriented Programming Lab (CS-B1, CS-B2)",,,,,,,,,,,,,,,,,,"Programming Fundamentals Lab (CS-G1, CS-G2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Lab(CS-4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Lab(CS-6),,,,,,,,,,Reserved for Fast School of Management (FSM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Lab(CS-9),,,,,,,,,,Reserved for Fast School of Management (FSM),,,,,,,,,,,,,,,,,,Reserved for Fast School of Management (FSM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Lab(CS-10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Physics Lab,,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-A1) ,,,,,,,,,,,,,,,,,,Digital Logic Design Lab (CS-C1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Micro Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thursday,CS-1,,,,,,,,,,Cloud Computing (MS),,,,,,,,,Digital Image Processing (CS),,,,,,,,,Theory of Automata - II (MS),,,,,,,,,Advanced Computer Architecture (MS),,,,,,,,,,,,,,,,,,Requirement Engineering (MS-SPM),,,,,,,,,,,,,,,,,,,,,,,,5
,CS-2,Computer Networks (CS-B),,,,,,,,,Computer Networks (CS-A),,,,,,,,,Communication & Presentation Skills  (CS-G2),,,,,,,,,,,,,,,,,,Social Network Analysis (MS-DS),,,,,,,,,Technical & Business Writing (CS-B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
